City,Description,Temperature (F),Feels Like (F),Minimun Temp (F),Maximum Temp (F),Temperature (C),Feels Like (C),Minimun Temp (C),Maximum Temp (C),Pressure,Humidty,Wind Speed,Time of Record,Sunrise (Local Time),Sunset (Local Time)
Calgary,broken clouds,50.36,47.97,46.33,52.03,10.2,8.87,7.96,11.13,1009,61,2.57,2024-05-21 03:46:58,2024-05-20 23:37:35,2024-05-21 15:28:41
Calgary,overcast clouds,41.92,34.66,40.59,43.16,5.51,1.48,4.77,6.2,1013,84,6.17,2024-05-20 05:42:48,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,overcast clouds,41.92,34.66,40.59,43.16,5.51,1.48,4.77,6.2,1013,84,6.17,2024-05-20 05:42:48,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,overcast clouds,46.24,39.27,44.76,48.15,7.91,4.04,7.09,8.97,1012,72,7.72,2024-05-20 12:05:36,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,broken clouds,50.36,47.97,46.33,52.03,10.2,8.87,7.96,11.13,1009,61,2.57,2024-05-21 03:46:58,2024-05-20 23:37:35,2024-05-21 15:28:41
Calgary,overcast clouds,41.92,34.66,40.59,43.16,5.51,1.48,4.77,6.2,1013,84,6.17,2024-05-20 05:42:48,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,overcast clouds,41.92,34.66,40.59,43.16,5.51,1.48,4.77,6.2,1013,84,6.17,2024-05-20 05:42:48,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,overcast clouds,46.24,39.27,44.76,48.15,7.91,4.04,7.09,8.97,1012,72,7.72,2024-05-20 12:05:36,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,broken clouds,50.36,47.97,46.33,52.03,10.2,8.87,7.96,11.13,1009,61,2.57,2024-05-21 03:46:58,2024-05-20 23:37:35,2024-05-21 15:28:41
Calgary,overcast clouds,41.92,34.66,40.59,43.16,5.51,1.48,4.77,6.2,1013,84,6.17,2024-05-20 05:42:48,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,overcast clouds,41.92,34.66,40.59,43.16,5.51,1.48,4.77,6.2,1013,84,6.17,2024-05-20 05:42:48,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,overcast clouds,46.24,39.27,44.76,48.15,7.91,4.04,7.09,8.97,1012,72,7.72,2024-05-20 12:05:36,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,broken clouds,50.36,47.97,46.33,52.03,10.2,8.87,7.96,11.13,1009,61,2.57,2024-05-21 03:46:58,2024-05-20 23:37:35,2024-05-21 15:28:41
Calgary,overcast clouds,41.92,34.66,40.59,43.16,5.51,1.48,4.77,6.2,1013,84,6.17,2024-05-20 05:42:48,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,overcast clouds,46.24,39.27,44.76,48.15,7.91,4.04,7.09,8.97,1012,72,7.72,2024-05-20 12:05:36,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,overcast clouds,42.57,35.47,39.16,43.65,5.87,1.93,3.98,6.47,1013,81,6.17,2024-05-20 05:26:00,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,broken clouds,50.36,47.97,46.33,52.03,10.2,8.87,7.96,11.13,1009,61,2.57,2024-05-21 03:46:58,2024-05-20 23:37:35,2024-05-21 15:28:41
Calgary,overcast clouds,42.57,35.47,39.16,43.65,5.87,1.93,3.98,6.47,1013,81,6.17,2024-05-20 05:26:00,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,overcast clouds,41.92,34.66,40.59,43.16,5.51,1.48,4.77,6.2,1013,84,6.17,2024-05-20 05:42:48,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,broken clouds,50.36,47.97,46.33,52.03,10.2,8.87,7.96,11.13,1009,61,2.57,2024-05-21 03:46:58,2024-05-20 23:37:35,2024-05-21 15:28:41
Calgary,overcast clouds,42.57,35.47,39.16,43.65,5.87,1.93,3.98,6.47,1013,81,6.17,2024-05-20 05:26:00,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,overcast clouds,41.92,34.66,40.59,43.16,5.51,1.48,4.77,6.2,1013,84,6.17,2024-05-20 05:42:48,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,broken clouds,50.36,47.97,46.33,52.03,10.2,8.87,7.96,11.13,1009,61,2.57,2024-05-21 03:46:58,2024-05-20 23:37:35,2024-05-21 15:28:41
Calgary,overcast clouds,42.57,35.47,39.16,43.65,5.87,1.93,3.98,6.47,1013,81,6.17,2024-05-20 05:26:00,2024-05-19 23:38:48,2024-05-20 15:27:18
Calgary,overcast clouds,41.92,34.66,40.59,43.16,5.51,1.48,4.77,6.2,1013,84,6.17,2024-05-20 05:42:48,2024-05-19 23:38:48,2024-05-20 15:27:18
